,Unnamed: 0,User,Tweet,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment
89,89,Olaetan_,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
90,90,RAkpotor,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
91,91,Joe_obrienffc,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
92,92,FinneyOfwa,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
93,93,Johan1802,@paulsoxy @JanAageFjortoft When Jadon Sancho came to United last season do you think there was 0 agent fees involved? Also is Jadon Sanco playing for free or something? Weird that they only reported his transfer fee. I've never seen this wages being added to the transfer fee shit,0.4515,0.756,0.095,0.149,Positive
94,94,Capalot1300,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
95,95,SerMM91,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
96,96,subbanholic,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
97,97,HodgsonMk4,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
98,98,OleBallEnjoyer,"@ggmu4231 If it was indeed was as this installment stuff is being peddled, consider how we're paying Sancho's 73m fee in 5 installments, yet our transfer window was over after signing Sancho and Varane, until 7 became available.",0.0,1.0,0.0,0.0,Neutral
99,99,KpFawehinmi,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
100,100,Man_CityMan,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
101,101,Emperor_Gani,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
102,102,talaalburny,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
103,103,JesseAlordiah,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
104,104,a_xaadimloo,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
105,105,t0mide_,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
106,106,fogohere,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
107,107,Ty_Coolan,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
108,108,JamieForshaw4,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
109,109,Rxxdot,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
