Name,Age,Team_from,League_from,Team_to,League_to,Season,marketvalue,fee
Julian Draxler,21,FC Schalke 04,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2015-2016,22000000,43000000
Arturo Vidal,28,Juventus,Serie A,Bayern Munich ,1.Bundesliga,2015-2016,42000000,37500000
Douglas Costa,24,Shakhtar D.,Premier Liga,Bayern Munich ,1.Bundesliga,2015-2016,23000000,30000000
Charles Aránguiz,26,Internacional,Série A,Bay. Leverkusen,1.Bundesliga,2015-2016,9500000,13000000
Max Kruse,27,Bor. M'gladbach,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2015-2016,12000000,12000000
Chicharito,27,Man Utd,Premier League,Bay. Leverkusen,1.Bundesliga,2015-2016,10000000,12000000
Gonzalo Castro,28,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2015-2016,14000000,11000000
Kevin Kampl,24,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,9000000,11000000
Johannes Geis,21,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,11000000,10500000
Josip Drmic,22,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2015-2016,8000000,10000000
Matija Nastasic,22,Man City,Premier League,FC Schalke 04,1.Bundesliga,2015-2016,14000000,9500000
Joshua Kimmich,20,VfB Stuttgart,1.Bundesliga,Bayern Munich ,1.Bundesliga,2015-2016,5000000,8500000
Thorgan Hazard,22,Chelsea,Premier League,Bor. M'gladbach,1.Bundesliga,2015-2016,10000000,8000000
Admir Mehmedi,24,SC Freiburg,2.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,6000000,8000000
Jonas Hofmann,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2015-2016,4000000,8000000
Jonathan Tah,19,Hamburger SV,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,6000000,7500000
Kyriakos Papadopoulos,23,FC Schalke 04,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,7500000,6500000
Lewis Holtby,24,Spurs,Premier League,Hamburger SV,1.Bundesliga,2015-2016,4000000,6500000
Franco Di Santo,26,Werder Bremen,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,8500000,6000000
Eduardo Vargas,25,SSC Napoli,Serie A,TSG Hoffenheim,1.Bundesliga,2015-2016,6000000,6000000
Jackson Martínez,28,FC Porto,Liga NOS,Atlético Madrid,LaLiga,2015-2016,35000000,37100000
Arda Turan,28,Atlético Madrid,LaLiga,FC Barcelona,LaLiga,2015-2016,35000000,34000000
Danilo,23,FC Porto,Liga NOS,Real Madrid,LaLiga,2015-2016,25000000,31500000
Mateo Kovacic,21,Inter,Serie A,Real Madrid,LaLiga,2015-2016,22000000,31000000
Rodrigo,24,Benfica,Liga NOS,Valencia CF,LaLiga,2015-2016,18000000,30000000
Álvaro Negredo,29,Man City,Premier League,Valencia CF,LaLiga,2015-2016,18000000,28000000
Stefan Savic,24,Fiorentina,Serie A,Atlético Madrid,LaLiga,2015-2016,15000000,25000000
Yannick Carrasco,21,Monaco,Ligue 1,Atlético Madrid,LaLiga,2015-2016,9000000,24760000
Aymen Abdennour,26,Monaco,Ligue 1,Valencia CF,LaLiga,2015-2016,10000000,22000000
Luciano Vietto,21,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,2015-2016,20000000,20000000
André Gomes,21,Benfica,Liga NOS,Valencia CF,LaLiga,2015-2016,20000000,20000000
Aleix Vidal,25,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2015-2016,10000000,17000000
Filipe Luís,29,Chelsea,Premier League,Atlético Madrid,LaLiga,2015-2016,15000000,16000000
Roberto Soldado,30,Spurs,Premier League,Villarreal CF,LaLiga,2015-2016,10000000,16000000
Asier Illarramendi,25,Real Madrid,LaLiga,Real Sociedad,LaLiga,2015-2016,15000000,15000000
João Cancelo,21,Benfica,Liga NOS,Valencia CF,LaLiga,2015-2016,5000000,15000000
Ciro Immobile,25,Bor. Dortmund,1.Bundesliga,Sevilla FC,LaLiga,2015-2016,10000000,11000000
Santi Mina,19,Celta de Vigo,LaLiga,Valencia CF,LaLiga,2015-2016,4000000,10000000
Aderllan Santos,26,Braga,Liga NOS,Valencia CF,LaLiga,2015-2016,7500000,9500000
Raúl García,29,Atlético Madrid,LaLiga,Athletic Bilbao,LaLiga,2015-2016,15000000,8000000
Samu García,24,Málaga CF,LaLiga,Villarreal CF,LaLiga,2015-2016,7500000,8000000
Samu Castillejo,20,Málaga CF,LaLiga,Villarreal CF,LaLiga,2015-2016,7500000,8000000
Steven Nzonzi,26,Stoke City,Premier League,Sevilla FC,LaLiga,2015-2016,7500000,8000000
Matías Kranevitter,22,River Plate,Primera División,Atlético Madrid,LaLiga,2015-2016,7000000,8000000
Cédric Bakambu,24,Bursaspor,Süper Lig,Villarreal CF,LaLiga,2015-2016,5500000,7500000
Jonathas,26,Elche CF,LaLiga2,Real Sociedad,LaLiga,2015-2016,6000000,7200000
Mathew Ryan,23,Club Brugge,Jupiler Pro League,Valencia CF,LaLiga,2015-2016,7000000,7000000
Sidnei,25,Benfica,Liga NOS,Dep. La Coruña,LaLiga,2015-2016,3000000,6500000
Kiko Casilla,28,Espanyol,LaLiga,Real Madrid,LaLiga,2015-2016,7500000,6000000
Bernard Mensah,20,Vit. Guimarães,Liga NOS,Atlético Madrid,LaLiga,2015-2016,4000000,6000000
Iago Aspas,27,Liverpool,Premier League,Sevilla FC,LaLiga,2015-2016,4000000,6000000
Gaël Kakuta,24,Chelsea,Premier League,Sevilla FC,LaLiga,2015-2016,3500000,6000000
Ángel Di María,27,Man Utd,Premier League,Paris SG,Ligue 1,2015-2016,50000000,63000000
Layvin Kurzawa,22,Monaco,Ligue 1,Paris SG,Ligue 1,2015-2016,10000000,25000000
Ivan Cavaleiro,21,Benfica,Liga NOS,Monaco,Ligue 1,2015-2016,3500000,15000000
Adama Traoré,20,LOSC Lille,Ligue 1,Monaco,Ligue 1,2015-2016,1250000,14000000
Sergi Darder,21,Málaga CF,LaLiga,Olympique Lyon,Ligue 1,2015-2016,7500000,13100000
Rony Lopes,19,Man City,Premier League,Monaco,Ligue 1,2015-2016,4500000,12000000
Jemerson,23,Atlético-MG,Série A,Monaco,Ligue 1,2015-2016,5000000,11000000
Serge Aurier,22,Toulouse,Ligue 1,Paris SG,Ligue 1,2015-2016,10000000,10000000
Kevin Trapp,25,E. Frankfurt,1.Bundesliga,Paris SG,Ligue 1,2015-2016,8000000,9500000
Mapou Yanga-Mbiwa,26,AS Roma,Serie A,Olympique Lyon,Ligue 1,2015-2016,6500000,9400000
Gabriel Boschilia,19,São Paulo,Série A,Monaco,Ligue 1,2015-2016,3000000,9060000
Guido Carrillo,24,Estudiantes,Primera División,Monaco,Ligue 1,2015-2016,3200000,9000000
Benjamin Stambouli,24,Spurs,Premier League,Paris SG,Ligue 1,2015-2016,5000000,8600000
Lucas Ocampos,20,Monaco,Ligue 1,Marseille,Ligue 1,2015-2016,6500000,7500000
Robert Beric,24,Rapid Vienna,Bundesliga,Saint-Étienne,Ligue 1,2015-2016,3000000,7500000
Mathieu Valbuena,30,Dinamo Moscow,Premier Liga,Olympique Lyon,Ligue 1,2015-2016,11500000,6000000
Fabinho,21,Rio Ave FC,Liga NOS,Monaco,Ligue 1,2015-2016,8000000,6000000
Claudio Beauvue,27,Guingamp,Ligue 1,Olympique Lyon,Ligue 1,2015-2016,5000000,6000000
Kevin De Bruyne,24,VfL Wolfsburg,1.Bundesliga,Man City,Premier League,2015-2016,45000000,76000000
Raheem Sterling,20,Liverpool,Premier League,Man City,Premier League,2015-2016,40000000,63700000
Anthony Martial,19,Monaco,Ligue 1,Man Utd,Premier League,2015-2016,8000000,60000000
Christian Benteke,24,Aston Villa,Premier League,Liverpool,Premier League,2015-2016,20000000,46500000
Nicolás Otamendi,27,Valencia CF,LaLiga,Man City,Premier League,2015-2016,25000000,44600000
Roberto Firmino,23,TSG Hoffenheim,1.Bundesliga,Liverpool,Premier League,2015-2016,25000000,41000000
Morgan Schneiderlin,25,Southampton,Premier League,Man Utd,Premier League,2015-2016,28000000,35000000
Memphis Depay,21,PSV Eindhoven,Eredivisie,Man Utd,Premier League,2015-2016,28000000,34000000
Heung-min Son,23,Bay. Leverkusen,1.Bundesliga,Spurs,Premier League,2015-2016,16000000,30000000
Pedro,28,FC Barcelona,LaLiga,Chelsea,Premier League,2015-2016,20000000,27000000
Giannelli Imbula,23,FC Porto,Liga NOS,Stoke City,Premier League,2015-2016,16000000,24250000
Georginio Wijnaldum,24,PSV Eindhoven,Eredivisie,Newcastle,Premier League,2015-2016,15000000,20000000
Abdul Rahman Baba,21,FC Augsburg,1.Bundesliga,Chelsea,Premier League,2015-2016,10000000,20000000
Aleksandar Mitrovic,20,RSC Anderlecht,Jupiler Pro League,Newcastle,Premier League,2015-2016,11000000,18500000
Florian Thauvin,22,Marseille,Ligue 1,Newcastle,Premier League,2015-2016,12000000,18350000
Matteo Darmian,25,Torino,Serie A,Man Utd,Premier League,2015-2016,12000000,18000000
Oumar Niasse,25,Loko Moscow,Premier Liga,Everton,Premier League,2015-2016,10000000,17900000
Nathaniel Clyne,24,Southampton,Premier League,Liverpool,Premier League,2015-2016,17000000,17700000
Xherdan Shaqiri,23,Inter,Serie A,Stoke City,Premier League,2015-2016,17000000,17000000
José Salomón Rondón,25,Zenit S-Pb,Premier Liga,West Brom,Premier League,2015-2016,15000000,17000000
Toby Alderweireld,26,Atlético Madrid,LaLiga,Spurs,Premier League,2015-2016,15000000,16000000
Jonjo Shelvey,23,Swansea,Premier League,Newcastle,Premier League,2015-2016,12000000,16000000
Andros Townsend,24,Spurs,Premier League,Newcastle,Premier League,2015-2016,8000000,15700000
Virgil van Dijk,24,Celtic,Premiership,Southampton,Premier League,2015-2016,5000000,15700000
Dimitri Payet,28,Marseille,Ligue 1,West Ham,Premier League,2015-2016,13000000,15000000
Jordy Clasie,24,Feyenoord,Eredivisie,Southampton,Premier League,2015-2016,10000000,15000000
Clinton N'Jie,22,Olympique Lyon,Ligue 1,Spurs,Premier League,2015-2016,5000000,14100000
Petr Cech,33,Chelsea,Premier League,Arsenal,Premier League,2015-2016,12000000,14000000
Yohan Cabaye,29,Paris SG,Ligue 1,Crystal Palace,Premier League,2015-2016,16000000,13900000
Benik Afobe,22,Wolves,Championship,Bournemouth,Premier League,2015-2016,7000000,13300000
Ramiro Funes Mori,24,River Plate,Primera División,Everton,Premier League,2015-2016,6000000,12900000
Mohamed Elneny,23,FC Basel,Super League,Arsenal,Premier League,2015-2016,4000000,12500000
Chancel Mbemba,20,RSC Anderlecht,Jupiler Pro League,Newcastle,Premier League,2015-2016,8000000,12000000
Jordan Ayew,23,FC Lorient,Ligue 1,Aston Villa,Premier League,2015-2016,6000000,12000000
Wahbi Khazri,24,G. Bordeaux,Ligue 1,Sunderland,Premier League,2015-2016,7500000,11800000
Fabian Delph,25,Aston Villa,Premier League,Man City,Premier League,2015-2016,10000000,11500000
Jeremain Lens,27,Dynamo Kyiv,Premier Liga,Sunderland,Premier League,2015-2016,12000000,11400000
Tyrone Mings,22,Ipswich,Championship,Bournemouth,Premier League,2015-2016,6000000,11300000
James Chester,26,Hull City,Championship,West Brom,Premier League,2015-2016,2000000,11300000
Asmir Begovic,28,Stoke City,Premier League,Chelsea,Premier League,2015-2016,12000000,11000000
Angelo Ogbonna,27,Juventus,Serie A,West Ham,Premier League,2015-2016,9000000,11000000
Shinji Okazaki,29,1.FSV Mainz 05,1.Bundesliga,Leicester,Premier League,2015-2016,8000000,11000000
Steven Naismith,29,Everton,Premier League,Norwich,Premier League,2015-2016,5000000,11000000
Jordan Amavi,21,OGC Nice,Ligue 1,Aston Villa,Premier League,2015-2016,4000000,11000000
Timm Klose,27,VfL Wolfsburg,1.Bundesliga,Norwich,Premier League,2015-2016,3000000,11000000
Fabio Borini,24,Liverpool,Premier League,Sunderland,Premier League,2015-2016,7000000,10700000
Abdoulaye Doucouré,23,Stade Rennais,Ligue 1,Watford,Premier League,2015-2016,6000000,10600000
Adalberto Peñaranda,18,Udinese Calcio,Serie A,Watford,Premier League,2015-2016,500000,10600000
Ricardo Álvarez,27,Inter,Serie A,Sunderland,Premier League,2015-2016,10000000,10500000
Jordan Veretout,22,FC Nantes,Ligue 1,Aston Villa,Premier League,2015-2016,8000000,10000000
Max Gradel,27,Saint-Étienne,Ligue 1,Bournemouth,Premier League,2015-2016,6500000,10000000
Connor Wickham,22,Sunderland,Premier League,Crystal Palace,Premier League,2015-2016,5000000,10000000
Adama Traoré,19,FC Barcelona B,2ª B - Grupo III,Aston Villa,Premier League,2015-2016,5000000,10000000
Robbie Brady,23,Hull City,Championship,Norwich,Premier League,2015-2016,2000000,9900000
Alberto Paloschi,26,Chievo Verona,Serie A,Swansea,Premier League,2015-2016,6000000,9500000
Michail Antonio,25,Nottm Forest,Championship,West Ham,Premier League,2015-2016,2500000,9500000
Lewis Grabban,28,Norwich,Premier League,Bournemouth,Premier League,2015-2016,3000000,9350000
Bastian Schweinsteiger,30,Bayern Munich ,1.Bundesliga,Man Utd,Premier League,2015-2016,22000000,9000000
Idrissa Gueye,25,LOSC Lille,Ligue 1,Aston Villa,Premier League,2015-2016,7500000,9000000
N'Golo Kanté,24,SM Caen,Ligue 1,Leicester,Premier League,2015-2016,4500000,9000000
Étienne Capoue,27,Spurs,Premier League,Watford,Premier League,2015-2016,7500000,8900000
José Manuel Jurado,29,Spartak Moscow,Premier Liga,Watford,Premier League,2015-2016,7000000,8600000
Rudy Gestede,26,Blackburn,Championship,Aston Villa,Premier League,2015-2016,3500000,8500000
Nordin Amrabat,28,Málaga CF,LaLiga,Watford,Premier League,2015-2016,6000000,8400000
Matej Vydra,23,Udinese Calcio,Serie A,Watford,Premier League,2015-2016,5500000,8400000
Danny Ings,22,Burnley,Championship,Liverpool,Premier League,2015-2016,12000000,8300000
Jonny Evans,27,Man Utd,Premier League,West Brom,Premier League,2015-2016,6000000,8300000
Obbi Oulare,19,Club Brugge,Jupiler Pro League,Watford,Premier League,2015-2016,5000000,8230000
Joselu,25,Hannover 96,1.Bundesliga,Stoke City,Premier League,2015-2016,6000000,8000000
Kenedy,19,Fluminense,Série A,Chelsea,Premier League,2015-2016,6000000,8000000
Patrick Roberts,18,Fulham,Championship,Man City,Premier League,2015-2016,2500000,7200000
Cédric Soares,23,Sporting CP,Liga NOS,Southampton,Premier League,2015-2016,9500000,7000000
Gökhan Inler,31,SSC Napoli,Serie A,Leicester,Premier League,2015-2016,7500000,7000000
Juanmi,22,Málaga CF,LaLiga,Southampton,Premier League,2015-2016,7000000,7000000
Marko Grujic,19,Red Star,SuperLiga,Liverpool,Premier League,2015-2016,3000000,7000000
Oriol Romeu,23,Chelsea,Premier League,Southampton,Premier League,2015-2016,2500000,7000000
Yohan Benalouane,28,Atalanta,Serie A,Leicester,Premier League,2015-2016,1300000,7000000
Éder,27,Braga,Liga NOS,Swansea,Premier League,2015-2016,6000000,6700000
Daniel Amartey,21,FC Copenhagen,Superligaen,Leicester,Premier League,2015-2016,3000000,6600000
Steven Berghuis,23,AZ Alkmaar,Eredivisie,Watford,Premier League,2015-2016,3500000,6500000
Lamine Koné,27,FC Lorient,Ligue 1,Sunderland,Premier League,2015-2016,2500000,6500000
Aaron Lennon,28,Spurs,Premier League,Everton,Premier League,2015-2016,8500000,6000000
Pedro Obiang,23,Sampdoria,Serie A,West Ham,Premier League,2015-2016,8000000,6000000
Kevin Wimmer,22,1. FC Köln,1.Bundesliga,Spurs,Premier League,2015-2016,7500000,6000000
Gerard Deulofeu,21,FC Barcelona,LaLiga,Everton,Premier League,2015-2016,6000000,6000000
Henri Saivet,25,G. Bordeaux,Ligue 1,Newcastle,Premier League,2015-2016,2500000,6000000
Paulo Dybala,21,US Palermo,Serie A,Juventus,Serie A,2015-2016,28000000,40000000
Geoffrey Kondogbia,22,Monaco,Ligue 1,Inter,Serie A,2015-2016,16000000,36000000
Carlos Bacca,28,Sevilla FC,LaLiga,AC Milan,Serie A,2015-2016,25000000,30000000
Alex Sandro,24,FC Porto,Liga NOS,Juventus,Serie A,2015-2016,20000000,26000000
Alessio Romagnoli,20,AS Roma,Serie A,AC Milan,Serie A,2015-2016,8500000,25000000
Mario Mandzukic,29,Atlético Madrid,LaLiga,Juventus,Serie A,2015-2016,20000000,21000000
Andrea Bertolacci,24,AS Roma,Serie A,AC Milan,Serie A,2015-2016,15000000,20000000
Ivan Perisic,26,VfL Wolfsburg,1.Bundesliga,Inter,Serie A,2015-2016,13000000,19000000
Simone Zaza,24,Sassuolo,Serie A,Juventus,Serie A,2015-2016,11000000,18000000
Sergej Milinkovic-Savic,20,KRC Genk,Jupiler Pro League,Lazio,Serie A,2015-2016,4000000,18000000
Roberto Pereyra,24,Udinese Calcio,Serie A,Juventus,Serie A,2015-2016,17000000,15000000
Xherdan Shaqiri,23,Bayern Munich ,1.Bundesliga,Inter,Serie A,2015-2016,17000000,15000000
Mario Suárez,28,Atlético Madrid,LaLiga,Fiorentina,Serie A,2015-2016,10000000,15000000
Hernanes,30,Inter,Serie A,Juventus,Serie A,2015-2016,14000000,13000000
Luis Muriel,24,Udinese Calcio,Serie A,Sampdoria,Serie A,2015-2016,10000000,12000000
Allan,24,Udinese Calcio,Serie A,SSC Napoli,Serie A,2015-2016,11500000,11500000
Dusan Basta,30,Udinese Calcio,Serie A,Lazio,Serie A,2015-2016,5500000,10500000
Domenico Berardi,20,Juventus,Serie A,Sassuolo,Serie A,2015-2016,17500000,10000000
Andrea Bertolacci,24,Genoa,Serie A,AS Roma,Serie A,2015-2016,15000000,8500000
Mattia Destro,24,AS Roma,Serie A,Bologna,Serie A,2015-2016,13000000,8500000
Andrea Belotti,21,US Palermo,Serie A,Torino,Serie A,2015-2016,5000000,8400000
Fernando,23,Shakhtar D.,Premier Liga,Sampdoria,Serie A,2015-2016,9000000,8000000
Luiz Adriano,28,Shakhtar D.,Premier Liga,AC Milan,Serie A,2015-2016,8500000,8000000
Jeison Murillo,23,Granada CF,LaLiga,Inter,Serie A,2015-2016,8000000,8000000
Alberto Grassi,20,Atalanta,Serie A,SSC Napoli,Serie A,2015-2016,2000000,8000000
Rolando Mandragora,18,Genoa,Serie A,Juventus,Serie A,2015-2016,2000000,8000000
Iago Falque,26,Genoa,Serie A,AS Roma,Serie A,2015-2016,8000000,7000000
Vlad Chiriches,25,Spurs,Premier League,SSC Napoli,Serie A,2015-2016,6000000,7000000
Grégoire Defrel,24,RC Cesena,Serie B,Sassuolo,Serie A,2015-2016,6000000,7000000
Daniele Baselli,23,Atalanta,Serie A,Torino,Serie A,2015-2016,3800000,6000000
Leandro Paredes,21,Boca Juniors,Primera División,AS Roma,Serie A,2015-2016,3500000,6000000
Mats Hummels,27,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,2016-2017,32000000,35000000
Renato Sanches,18,Benfica,Liga NOS,Bayern Munich ,1.Bundesliga,2016-2017,10000000,35000000
André Schürrle,25,VfL Wolfsburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016-2017,18000000,30000000
Naby Keïta,21,RB Salzburg,Bundesliga,RB Leipzig,1.Bundesliga,2016-2017,11000000,24000000
Breel Embolo,19,FC Basel,Super League,FC Schalke 04,1.Bundesliga,2016-2017,20000000,22500000
Mario Götze,24,Bayern Munich ,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016-2017,35000000,22000000
Kevin Volland,23,TSG Hoffenheim,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2016-2017,17000000,20000000
Aleksandar Dragovic,25,Dynamo Kyiv,Premier Liga,Bay. Leverkusen,1.Bundesliga,2016-2017,15000000,18000000
Oliver Burke,19,Nottm Forest,Championship,RB Leipzig,1.Bundesliga,2016-2017,250000,15200000
Christoph Kramer,25,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2016-2017,12000000,15000000
Ousmane Dembélé,19,Stade Rennais,Ligue 1,Bor. Dortmund,1.Bundesliga,2016-2017,12000000,15000000
Filip Kostic,23,VfB Stuttgart,2.Bundesliga,Hamburger SV,1.Bundesliga,2016-2017,10000000,14000000
Timo Werner,20,VfB Stuttgart,2.Bundesliga,RB Leipzig,1.Bundesliga,2016-2017,8000000,14000000
Leon Bailey,19,KRC Genk,Jupiler Pro League,Bay. Leverkusen,1.Bundesliga,2016-2017,12500000,13500000
Yannick Gerhardt,22,1. FC Köln,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2016-2017,4500000,13000000
Yunus Malli,24,1.FSV Mainz 05,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2016-2017,10000000,12500000
Jannik Vestergaard,23,Werder Bremen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2016-2017,7000000,12500000
Riechedly Bazoer,20,AFC Ajax,Eredivisie,VfL Wolfsburg,1.Bundesliga,2016-2017,15000000,12000000
Raphaël Guerreiro,22,FC Lorient,Rel. Ligue 1,Bor. Dortmund,1.Bundesliga,2016-2017,9000000,12000000
Sebastian Rode,25,Bayern Munich ,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016-2017,8000000,12000000
Jeffrey Bruma,24,PSV Eindhoven,Eredivisie,VfL Wolfsburg,1.Bundesliga,2016-2017,7750000,11500000
Andrej Kramaric,25,Leicester,Premier League,TSG Hoffenheim,1.Bundesliga,2016-2017,5000000,11000000
Dayot Upamecano,18,RB Salzburg,Bundesliga,RB Leipzig,1.Bundesliga,2016-2017,5000000,10000000
Josip Brekalo,18,Dinamo Zagreb,1.HNL,VfL Wolfsburg,1.Bundesliga,2016-2017,1000000,10000000
Emre Mor,18,Nordsjaelland,Superligaen,Bor. Dortmund,1.Bundesliga,2016-2017,1000000,9750000
Walace,21,Grêmio,Série A,Hamburger SV,1.Bundesliga,2016-2017,9000000,9200000
Alexander Isak,17,AIK Solna,Allsvenskan,Bor. Dortmund,1.Bundesliga,2016-2017,1750000,8600000
Marc Bartra,25,FC Barcelona,LaLiga,Bor. Dortmund,1.Bundesliga,2016-2017,12000000,8000000
Benjamin Stambouli,26,Paris SG,Ligue 1,FC Schalke 04,1.Bundesliga,2016-2017,7000000,8000000
Max Kruse,28,VfL Wolfsburg,1.Bundesliga,Werder Bremen,1.Bundesliga,2016-2017,8000000,7500000
Timothée Kolodziejczak,25,Sevilla FC,LaLiga,Bor. M'gladbach,1.Bundesliga,2016-2017,7000000,7500000
Martin Hinteregger,23,RB Salzburg,Bundesliga,FC Augsburg,1.Bundesliga,2016-2017,6000000,7000000
Douglas Santos,22,Atlético-MG,Série A,Hamburger SV,1.Bundesliga,2016-2017,6000000,6500000
Jhon Córdoba,23,Granada CF,LaLiga,1.FSV Mainz 05,1.Bundesliga,2016-2017,3500000,6500000
André Gomes,22,Valencia CF,LaLiga,FC Barcelona,LaLiga,2016-2017,30000000,37000000
Álvaro Morata,23,Juventus,Serie A,Real Madrid,LaLiga,2016-2017,30000000,30000000
Paco Alcácer,23,Valencia CF,LaLiga,FC Barcelona,LaLiga,2016-2017,25000000,30000000
Kévin Gameiro,29,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,2016-2017,20000000,30000000
Nico Gaitán,28,Benfica,Liga NOS,Atlético Madrid,LaLiga,2016-2017,30000000,25000000
Samuel Umtiti,22,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,2016-2017,15000000,25000000
Ezequiel Garay,29,Zenit S-Pb,Premier Liga,Valencia CF,LaLiga,2016-2017,20000000,24000000
Joaquín Correa,21,Sampdoria,Serie A,Sevilla FC,LaLiga,2016-2017,6500000,18200000
Franco Vázquez,27,US Palermo,Serie A,Sevilla FC,LaLiga,2016-2017,15000000,16800000
Lucas Digne,22,Paris SG,Ligue 1,FC Barcelona,LaLiga,2016-2017,12000000,16500000
Sime Vrsaljko,24,Sassuolo,Serie A,Atlético Madrid,LaLiga,2016-2017,13000000,16000000
Roberto Soriano,25,Sampdoria,Serie A,Villarreal CF,LaLiga,2016-2017,14000000,13750000
Nicola Sansone,24,Sassuolo,Serie A,Villarreal CF,LaLiga,2016-2017,12000000,13000000
Jasper Cillessen,27,AFC Ajax,Eredivisie,FC Barcelona,LaLiga,2016-2017,12000000,13000000
Ganso,26,São Paulo,Série A,Sevilla FC,LaLiga,2016-2017,9000000,9500000
Wissam Ben Yedder,25,Toulouse,Ligue 1,Sevilla FC,LaLiga,2016-2017,9000000,9500000
Nani,29,Fenerbahce,Süper Lig,Valencia CF,LaLiga,2016-2017,14500000,8500000
Alfred N'Diaye,26,Real Betis,LaLiga,Villarreal CF,LaLiga,2016-2017,3500000,8000000
Antonio Sanabria,20,AS Roma,Serie A,Real Betis,LaLiga,2016-2017,7500000,7500000
Cristian Espinoza,21,Huracán,Primera División,Villarreal CF,LaLiga,2016-2017,5000000,7200000
Diogo Jota,19,Paços Ferreira,Liga NOS,Atlético Madrid,LaLiga,2016-2017,3000000,7200000
Denis Cheryshev,25,Real Madrid,LaLiga,Villarreal CF,LaLiga,2016-2017,10000000,7000000
Gerónimo Rulli,24,Man City,Premier League,Real Sociedad,LaLiga,2016-2017,8000000,7000000
Leo Baptistão,23,Atlético Madrid,LaLiga,Espanyol,LaLiga,2016-2017,4000000,7000000
Hiroshi Kiyotake,26,Hannover 96,2.Bundesliga,Sevilla FC,LaLiga,2016-2017,4500000,6500000
Julian Draxler,23,VfL Wolfsburg,1.Bundesliga,Paris SG,Ligue 1,2016-2017,28000000,40000000
Gonçalo Guedes,20,Benfica,Liga NOS,Paris SG,Ligue 1,2016-2017,9000000,30000000
Dimitri Payet,29,West Ham,Premier League,Marseille,Ligue 1,2016-2017,30000000,29300000
Grzegorz Krychowiak,26,Sevilla FC,LaLiga,Paris SG,Ligue 1,2016-2017,30000000,27500000
Jesé,23,Real Madrid,LaLiga,Paris SG,Ligue 1,2016-2017,14000000,25000000
Memphis Depay,22,Man Utd,Premier League,Olympique Lyon,Ligue 1,2016-2017,25000000,16000000
Djibril Sidibé,23,LOSC Lille,Ligue 1,Monaco,Ligue 1,2016-2017,4000000,15000000
Benjamin Mendy,21,Marseille,Ligue 1,Monaco,Ligue 1,2016-2017,6500000,13000000
Kamil Glik,28,Torino,Serie A,Monaco,Ligue 1,2016-2017,10000000,11000000
Giovani Lo Celso,20,CA Rosario,Primera División,Paris SG,Ligue 1,2016-2017,7500000,10000000
Morgan Sanson,22,Montpellier,Ligue 1,Marseille,Ligue 1,2016-2017,10000000,9000000
Emanuel Mammana,20,River Plate,Primera División,Olympique Lyon,Ligue 1,2016-2017,7000000,8500000
Jorge,20,Flamengo,Série A,Monaco,Ligue 1,2016-2017,2500000,8500000
Rémy Cabella,26,Newcastle,Championship,Marseille,Ligue 1,2016-2017,8000000,8000000
Anwar El Ghazi,21,AFC Ajax,Eredivisie,LOSC Lille,Ligue 1,2016-2017,6500000,7000000
Paul Pogba,23,Juventus,Serie A,Man Utd,Premier League,2016-2017,70000000,105000000
John Stones,22,Everton,Premier League,Man City,Premier League,2016-2017,28000000,55600000
Leroy Sané,20,FC Schalke 04,1.Bundesliga,Man City,Premier League,2016-2017,30000000,50500000
Granit Xhaka,23,Bor. M'gladbach,1.Bundesliga,Arsenal,Premier League,2016-2017,25000000,45000000
Henrikh Mkhitaryan,27,Bor. Dortmund,1.Bundesliga,Man Utd,Premier League,2016-2017,30000000,42000000
Sadio Mané,24,Southampton,Premier League,Liverpool,Premier League,2016-2017,20000000,41200000
Shkodran Mustafi,24,Valencia CF,LaLiga,Arsenal,Premier League,2016-2017,20000000,41000000
Michy Batshuayi,22,Marseille,Ligue 1,Chelsea,Premier League,2016-2017,15000000,39000000
